2025-11-19 16:42:11,860 | PID=3740726 | idx=104 | STEP=zarr_file_0 | open=9.2ms | read=45.3ms
2025-11-19 16:42:11,861 | PID=3740716 | idx=68 | STEP=zarr_file_0 | open=4.6ms | read=44.8ms
2025-11-19 16:42:11,861 | PID=3740729 | idx=116 | STEP=zarr_file_0 | open=7.8ms | read=46.1ms
2025-11-19 16:42:11,862 | PID=3740728 | idx=112 | STEP=zarr_file_0 | open=9.3ms | read=46.0ms
2025-11-19 16:42:11,862 | PID=3740724 | idx=96 | STEP=zarr_file_0 | open=9.3ms | read=47.1ms
2025-11-19 16:42:11,862 | PID=3740730 | idx=120 | STEP=zarr_file_0 | open=9.1ms | read=46.7ms
2025-11-19 16:42:11,862 | PID=3740727 | idx=108 | STEP=zarr_file_0 | open=10.6ms | read=46.0ms
2025-11-19 16:42:11,862 | PID=3740720 | idx=84 | STEP=zarr_file_0 | open=12.0ms | read=45.0ms
2025-11-19 16:42:11,862 | PID=3740723 | idx=92 | STEP=zarr_file_0 | open=5.5ms | read=51.5ms
2025-11-19 16:42:11,863 | PID=3740719 | idx=80 | STEP=zarr_file_0 | open=7.5ms | read=47.9ms
2025-11-19 16:42:11,897 | PID=3740715 | idx=64 | STEP=zarr_file_1 | open=2.7ms | read=38.5ms
2025-11-19 16:42:11,900 | PID=3740716 | idx=68 | STEP=zarr_file_1 | open=3.1ms | read=36.0ms
2025-11-19 16:42:11,904 | PID=3740718 | idx=76 | STEP=zarr_file_1 | open=3.0ms | read=41.8ms
2025-11-19 16:42:11,905 | PID=3740732 | idx=124 | STEP=zarr_file_1 | open=3.3ms | read=42.0ms
2025-11-19 16:42:11,905 | PID=3740721 | idx=88 | STEP=zarr_file_1 | open=3.6ms | read=42.1ms
2025-11-19 16:42:11,906 | PID=3740725 | idx=100 | STEP=zarr_file_1 | open=3.5ms | read=46.7ms
2025-11-19 16:42:11,907 | PID=3740726 | idx=104 | STEP=zarr_file_1 | open=4.0ms | read=41.7ms
2025-11-19 16:42:11,909 | PID=3740729 | idx=116 | STEP=zarr_file_1 | open=4.1ms | read=43.8ms
2025-11-19 16:42:11,909 | PID=3740730 | idx=120 | STEP=zarr_file_1 | open=3.0ms | read=44.2ms
2025-11-19 16:42:11,910 | PID=3740727 | idx=108 | STEP=zarr_file_1 | open=2.7ms | read=45.0ms
2025-11-19 16:42:11,911 | PID=3740720 | idx=84 | STEP=zarr_file_1 | open=3.0ms | read=45.1ms
2025-11-19 16:42:11,911 | PID=3740717 | idx=72 | STEP=zarr_file_1 | open=3.8ms | read=47.0ms
2025-11-19 16:42:11,912 | PID=3740723 | idx=92 | STEP=zarr_file_1 | open=4.6ms | read=44.4ms
2025-11-19 16:42:11,912 | PID=3740719 | idx=80 | STEP=zarr_file_1 | open=3.2ms | read=46.0ms
2025-11-19 16:42:11,912 | PID=3740728 | idx=112 | STEP=zarr_file_1 | open=3.4ms | read=47.0ms
2025-11-19 16:42:11,915 | PID=3740724 | idx=96 | STEP=zarr_file_1 | open=3.3ms | read=49.9ms
2025-11-19 16:42:11,939 | PID=3740715 | idx=64 | STEP=zarr_file_2 | open=3.5ms | read=38.8ms
2025-11-19 16:42:11,944 | PID=3740716 | idx=68 | STEP=zarr_file_2 | open=2.9ms | read=40.4ms
2025-11-19 16:42:11,953 | PID=3740732 | idx=124 | STEP=zarr_file_2 | open=2.8ms | read=45.7ms
2025-11-19 16:42:11,954 | PID=3740726 | idx=104 | STEP=zarr_file_2 | open=3.9ms | read=42.9ms
2025-11-19 16:42:11,954 | PID=3740717 | idx=72 | STEP=zarr_file_2 | open=2.3ms | read=40.8ms
2025-11-19 16:42:11,955 | PID=3740730 | idx=120 | STEP=zarr_file_2 | open=3.5ms | read=41.9ms
2025-11-19 16:42:11,957 | PID=3740727 | idx=108 | STEP=zarr_file_2 | open=3.3ms | read=43.4ms
2025-11-19 16:42:11,957 | PID=3740720 | idx=84 | STEP=zarr_file_2 | open=2.9ms | read=43.4ms
2025-11-19 16:42:11,957 | PID=3740725 | idx=100 | STEP=zarr_file_2 | open=3.4ms | read=47.8ms
2025-11-19 16:42:11,958 | PID=3740729 | idx=116 | STEP=zarr_file_2 | open=3.5ms | read=45.4ms
2025-11-19 16:42:11,962 | PID=3740719 | idx=80 | STEP=zarr_file_2 | open=4.6ms | read=45.1ms
2025-11-19 16:42:11,962 | PID=3740728 | idx=112 | STEP=zarr_file_2 | open=5.7ms | read=44.5ms
2025-11-19 16:42:11,963 | PID=3740718 | idx=76 | STEP=zarr_file_2 | open=3.4ms | read=55.2ms
