Wall time,Step,Value
1768475809.3802967,9,7.763685703277588
1768476394.2353146,19,2.562403678894043
1768477071.5794256,29,2.3515353202819824
1768477714.6029897,39,7.312918186187744
1768478345.7310884,49,2.783013343811035
1768478933.4301474,59,7.491910934448242
1768479610.7536945,69,2.351560592651367
1768480231.5963445,79,12.33313274383545
